studentid,Year,Subject,Course,Consent,Test
10086824,2013,DRAM,100,3,CAT
10085186,2013,DRAM,100,3,CAT
10084576,2013,DRAM,100,3,CAT
10066620,2013,DRAM,100,3,CAT
10053847,2013,DRAM,100,3,CAT
10049779,2013,DRAM,100,3,CAT
10042867,2013,DRAM,100,3,CAT
10118315,2013,DRAM,100,1,CAT
10112675,2013,DRAM,100,1,CAT
10112335,2013,DRAM,100,1,CAT
10110370,2013,DRAM,100,1,CAT
10104680,2013,DRAM,100,1,CAT
10104619,2013,DRAM,100,1,CAT
10102242,2013,DRAM,100,1,CAT
10102048,2013,DRAM,100,1,CAT
10099952,2013,DRAM,100,1,CAT
10099893,2013,DRAM,100,1,CAT
10099869,2013,DRAM,100,1,CAT
10096997,2013,DRAM,100,1,CAT
10096768,2013,DRAM,100,1,CAT
10095820,2013,DRAM,100,1,CAT
10095018,2013,DRAM,100,1,CAT
10094492,2013,DRAM,100,1,CAT
10093867,2013,DRAM,100,1,CAT
10093710,2013,DRAM,100,1,CAT
10093333,2013,DRAM,100,1,CAT
10092025,2013,DRAM,100,1,CAT
10091638,2013,DRAM,100,1,CAT
10090908,2013,DRAM,100,1,CAT
10090653,2013,DRAM,100,1,CAT
10090451,2013,DRAM,100,1,CAT
10089291,2013,DRAM,100,1,CAT
10089168,2013,DRAM,100,1,CAT
10086862,2013,DRAM,100,1,CAT
10086858,2013,DRAM,100,1,CAT
10083537,2013,DRAM,100,1,CAT
10048737,2013,DRAM,100,1,CAT
10045624,2013,DRAM,100,1,CAT
10039306,2013,DRAM,100,1,CAT
10021657,2013,DRAM,100,1,CAT
